Year,Primary Enrollment,GDP per capita - LCU
2001,552302,4375803.45053165
2002,545509,4451553.26290039
2003,551797,4573331.39186749
2004,558084,4706618.4299704
2005,542087,4824871.1962467
2006,546542,5106972.59897257
2007,536436,5452232.18266432
2008,534816,5635721.53265774
2009,531665,5515297.10817192
2010,520609,5739042.10478023
2011,506961,5919687.81009029
2012,494720,6135990.77289413
2013,480125,6217310.42858339
2014,475731,6366010.4119373
2015,473447,6527158.53552278
2016,475756,6730042.64649332
2017,472421,6938173.67988194
2018,483770,7049194.17725135
2019,497065,7150785.31498678
2020,492761,6798412.69048945
